time, valid_out, skinScore
        691, 1,  23
        692, 1,  20
        693, 1,  20
        694, 1,  20
        695, 1,  20
        696, 1,  20
        697, 1,  20
        698, 1,  20
        699, 1,  20
        700, 1,  20
        701, 1,  20
        702, 1,  20
        703, 1,   0
        704, 1,  75
        705, 1,  60
        706, 1,  29
        707, 1,   4
        708, 1,  10
        709, 1,   0
        710, 1,  32
        711, 1,   0
        712, 1,   8
        713, 1,  26
        714, 1,  37
        715, 1,   2
        716, 1,   2
        717, 1,  27
        718, 1,   0
        719, 1,  33
        720, 1,  16
        721, 1,  23
        722, 1,  11
        723, 1,   7
        724, 1,   6
        725, 1,   0
        726, 1,   0
        727, 1,   0
        728, 0,   0
        729, 0,   0
        730, 0,   0
        731, 0,   0
        732, 0,   0
        733, 0,   0
        734, 0,   0
        735, 0,   0
        736, 0,   0
        737, 0,   0
        738, 0,   0
        739, 0,   0
        740, 0,   0
        741, 0,   0
        742, 0,   0
        743, 0,   0
        744, 0,   0
        745, 0,   0
        746, 0,   0
        747, 0,   0
        748, 0,   0
        749, 0,   0
        750, 0,   0
        751, 0,   0
        752, 0,   0
        753, 0,   0
        754, 0,   0
        755, 0,   0
        756, 0,   0
        757, 0,   0
        758, 0,   0
        759, 0,   0
        760, 0,   0
        761, 0,   0
        762, 0,   0
        763, 0,   0
        764, 0,   0
        765, 0,   0
        766, 0,   0
        767, 0,   0
        768, 0,   0
        769, 0,   0
        770, 0,   0
        771, 0,   0
        772, 0,   0
        773, 0,   0
        774, 0,   0
        775, 0,   0
        776, 0,   0
        777, 0,   0
        778, 0,   0
        779, 0,   0
        780, 0,   0
        781, 0,   0
        782, 0,   0
        783, 0,   0
        784, 0,   0
        785, 0,   0
        786, 0,   0
        787, 0,   0
        788, 0,   0
        789, 0,   0
        790, 0,   0
        791, 0,   0
        792, 0,   0
        793, 0,   0
        794, 0,   0
        795, 0,   0
        796, 0,   0
        797, 0,   0
        798, 0,   0
        799, 0,   0
