This is a Lite version of ISE Simulator.

Simulator is doing circuit initialization process.
Finished circuit initialization process.
cnt = 291 , EMG = 0 , lights = 0100_0001
cnt = 292 , EMG = 0 , lights = 0010_0001
cnt = 293 , EMG = 0 , lights = 0010_0001
cnt = 294 , EMG = 0 , lights = 0010_0001
cnt = 295 , EMG = 0 , lights = 0001_1001
cnt = 296 , EMG = 0 , lights = 0001_1001
cnt = 297 , EMG = 0 , lights = 0001_1001
cnt = 298 , EMG = 0 , lights = 0001_1001
cnt = 299 , EMG = 0 , lights = 0001_1001
cnt = 300 , EMG = 0 , lights = 0001_0100
cnt = 301 , EMG = 0 , lights = 0001_0100
cnt = 302 , EMG = 0 , lights = 0001_0100
cnt = 303 , EMG = 0 , lights = 0001_0100
cnt = 304 , EMG = 0 , lights = 0001_0100
cnt = 305 , EMG = 0 , lights = 0001_0100
cnt = 306 , EMG = 0 , lights = 0001_0100
cnt = 307 , EMG = 0 , lights = 0001_0100
cnt = 308 , EMG = 0 , lights = 0001_0100
cnt = 309 , EMG = 0 , lights = 0001_0100
cnt = 310 , EMG = 0 , lights = 0001_0010
cnt = 311 , EMG = 0 , lights = 0001_0010
cnt = 312 , EMG = 0 , lights = 0001_0010
cnt = 313 , EMG = 0 , lights = 1001_0001
cnt = 314 , EMG = 0 , lights = 1001_0001
cnt = 315 , EMG = 0 , lights = 1001_0001
cnt = 316 , EMG = 0 , lights = 1001_0001
cnt = 317 , EMG = 0 , lights = 1001_0001
cnt = 318 , EMG = 0 , lights = 0100_0001
cnt = 319 , EMG = 0 , lights = 0100_0001
cnt = 320 , EMG = 0 , lights = 0100_0001
cnt = 321 , EMG = 0 , lights = 0100_0001
cnt = 322 , EMG = 0 , lights = 0100_0001
cnt = 323 , EMG = 1 , lights = 0001_0001
cnt = 324 , EMG = 1 , lights = 0001_0001
cnt = 325 , EMG = 1 , lights = 0001_0001
cnt = 326 , EMG = 1 , lights = 0001_0001
cnt = 327 , EMG = 1 , lights = 0001_0001
cnt = 328 , EMG = 1 , lights = 0001_0001
cnt = 329 , EMG = 1 , lights = 0001_0001
cnt = 330 , EMG = 1 , lights = 0001_0001
cnt = 330 , EMG = 0 , lights = 0001_0001
cnt = 331 , EMG = 0 , lights = 0100_0001
cnt = 332 , EMG = 0 , lights = 0100_0001
cnt = 333 , EMG = 0 , lights = 0100_0001
cnt = 334 , EMG = 0 , lights = 0100_0001
cnt = 335 , EMG = 0 , lights = 0100_0001
cnt = 336 , EMG = 0 , lights = 0100_0001
cnt = 337 , EMG = 0 , lights = 0010_0001
cnt = 338 , EMG = 0 , lights = 0010_0001
cnt = 339 , EMG = 0 , lights = 0010_0001
cnt = 340 , EMG = 0 , lights = 0001_1001
cnt = 341 , EMG = 0 , lights = 0001_1001
cnt = 342 , EMG = 0 , lights = 0001_1001
cnt = 343 , EMG = 0 , lights = 0001_1001
cnt = 344 , EMG = 0 , lights = 0001_1001
cnt = 345 , EMG = 0 , lights = 0001_0100
cnt = 346 , EMG = 0 , lights = 0001_0100
cnt = 347 , EMG = 0 , lights = 0001_0100
cnt = 348 , EMG = 0 , lights = 0001_0100
cnt = 349 , EMG = 0 , lights = 0001_0100
cnt = 350 , EMG = 0 , lights = 0001_0100
cnt = 351 , EMG = 0 , lights = 0001_0100
cnt = 352 , EMG = 0 , lights = 0001_0100
cnt = 353 , EMG = 0 , lights = 0001_0100
cnt = 354 , EMG = 0 , lights = 0001_0100
cnt = 355 , EMG = 0 , lights = 0001_0010
cnt = 356 , EMG = 0 , lights = 0001_0010
cnt = 357 , EMG = 0 , lights = 0001_0010
cnt = 358 , EMG = 0 , lights = 1001_0001
cnt = 359 , EMG = 0 , lights = 1001_0001
cnt = 360 , EMG = 0 , lights = 1001_0001
cnt = 361 , EMG = 0 , lights = 1001_0001
cnt = 362 , EMG = 0 , lights = 1001_0001
cnt = 363 , EMG = 0 , lights = 0100_0001
cnt = 364 , EMG = 0 , lights = 0100_0001
cnt = 365 , EMG = 0 , lights = 0100_0001
cnt = 366 , EMG = 0 , lights = 0100_0001
cnt = 367 , EMG = 0 , lights = 0100_0001
cnt = 368 , EMG = 0 , lights = 0100_0001
cnt = 369 , EMG = 0 , lights = 0100_0001
cnt = 370 , EMG = 0 , lights = 0100_0001
cnt = 371 , EMG = 0 , lights = 0100_0001
cnt = 372 , EMG = 0 , lights = 0100_0001
cnt = 373 , EMG = 0 , lights = 0010_0001
cnt = 374 , EMG = 0 , lights = 0010_0001
cnt = 375 , EMG = 0 , lights = 0010_0001
cnt = 376 , EMG = 0 , lights = 0001_1001
cnt = 377 , EMG = 0 , lights = 0001_1001
cnt = 378 , EMG = 0 , lights = 0001_1001
cnt = 379 , EMG = 0 , lights = 0001_1001
cnt = 380 , EMG = 0 , lights = 0001_1001
cnt = 381 , EMG = 0 , lights = 0001_0100
